CRWV,307.74,130.357
COST,46.04,959.382
DAO,211.0,35.656
FBTC,2781.82,57.108
GOOG,1839.75,198.445
HOFV,161.57,67.716
MSFT,2986.61,304.759
NAIL,909.08,75.217
NBIS,453.66,110.529
NVDA,6658.4,95.924
OKLO,172.82,145.646
OPEN,2533.0,8.931
OUST,9.0,276.1
QQQ,207.48,470.579
SOXL,5830.36,39.13
SPCE,87.0,46.85
TQQQ,4543.26,51.339
TSLA,244.0,287.392
VOO,1995.09,515.317661
VRT,396.45,181.146
VST,961.45,156.74
VXUS,928.65,73.84
